title,label
Ada Rekayasa Lalin Jelang Peresmian Tol Pamulang-Cinere-Raya Bogor,hard
Menlu Bicara Keberhasilan Diplomasi dan Keuntungan Untuk RI,hard
Momen Gibran Rakabuming dan Selvi Nonton Bareng GDA 2024 di JIS,soft
Menlu Retno Paparkan Dua Fokus Diplomasi Ekonomi RI,hard
Langkah Afsel Seret Israel ke Meja Hijau Dunia Mulai Tuai Dukungan,hard
PDIP Harap Jokowi Tetap Netral di Pemilu 2024,hard
47 RT di Jakarta Masih Banjir Malam Ini,hard
"Menlu: Kepemimpinan Indonesia Diakui Dunia, dari Presiden G20-Ketua ASEAN",hard
Respons Walkot Semarang Usai Perumahan BSB Mijen Kembali Banjir,hard
Misteri Penyebab Jatuhnya Pesawat Pengebom Supersonik B-1 Lancer Milik AS,hard
"Dekati Pedagang, Relawan Prabowo-Gibran Cilegon Targetkan Menang 1 Putaran",hard
Kecaman ke Menteri Israel Buntut Serukan Warga Gaza Dipindah,hard
Hasto Anggap Pertemuan Jokowi dan Airlangga Hal Wajar,hard
Prabowo Usai Debat: Saya Agak Kecewa Narasi yang Disampaikan Paslon Lain,hard
Ganjar Nilai Debat Bagian dari Edukasi: Saya Tak Bicara Puas atau Tidak,hard
"Prabowo soal Tak Salaman dengan Anies: Dia Nggak Datang, Saya Lebih Tua",hard
"Bos PPI: Anies Gaspol Kritik Prabowo Sejak Awal, Ganjar Ikut Campur di Akhir",hard
Supporter Prabowo-Gibran Beri Yel-yel Selamat Jalan ke Pendukung 03 Usai Debat,soft
Anies Ngaku Tak Lihat Prabowo Usai Debat: Tidak Tahu ke Mana Harus Salaman,hard
Cak Imin Ajak Masyarakat Gunakan Kamera HP Awasi Potensi Kecurangan Pemilu,hard
"Gabung Gaspoll Bro, Peternak Sapi di Madura Totalitas Dukung Prabowo-Gibran",soft
Closing Statement Lengkap 3 Capres di Debat Pilpres Ketiga,hard
"Milenial Bojonegoro Gabung Gaspoll Bro, Komitmen Kampanyekan Prabowo-Gibran",soft
"Bangunan Stasiun Maseng Kena Longsor, Perjalanan KA Bogor-Sukabumi Aman",hard
Prabowo dan Anies Tak Salaman di Ujung Debat Ketiga Pilpres,hard
Anies Dilaporkan ke Bawaslu Atas Dugaan Fitnah 340 Ribu Ha Lahan Prabowo,hard
"Usai Kampanye di Ambon, Gibran Kunjungi Bali",hard
"Ganjar Bocorkan Grand Plan Ekonomi Kreatif, Singgung India hingga Korsel",hard
Respons MNC Group soal Tak Hentikan Aksi Pendukung Paslon 03 di Debat,hard
Ganjar Respons Jokowi: Data Pertahanan Terbuka di Website Kemenko Polhukam,hard
Bawaslu Sebut KPU Tak Beri Akses Silog untuk Awasi Distribusi Logistik Pemilu,hard
Status Tanggap Darurat Gempa Sumedang Dinyatakan Berakhir,hard
"Viral Serbuan Lalat di Kintamani Bikin Geli, Diduga gegara Kotoran Ayam",hard
"Hasto Ungkit Jokowi Tanya Data Lahan ke Prabowo saat 2019, Ini Kata TKN",hard
Bawaslu Temukan Banyak Logistik Pemilu Rusak di Ratusan Daerah,hard
Komunitas Delman DKI Juga Gabung Gaspoll Bro Siap Menangkan Prabowo-Gibran,soft
3 Fakta Saipul Jamil Dibebaskan Usai Terbukti Negatif Narkoba,hard
"Gabung Gaspoll Bro, Perajin Batik Madura Tambah Dukungan ke Prabowo-Gibran",soft
Pemkab Lebak Akan Manfaatkan Bendungan Karian Jadi Tempat Wisata,hard
Polisi Ajak Warga Pancoran Jaksel Hidupkan Siskamling Cegah Curanmor,hard
Ma'ruf Kunjungi Pura Pakualaman Jelang Pernikahan Putra KGPAA Paku Alam X,soft
"Gempa M 4,1 Terjadi di Pangandaran",hard
Macron Tunjuk Gabriel Attal Jadi PM Prancis Termuda,hard
"H-1 HUT PDIP, Setneg Belum Terima Undangan untuk Jokowi",hard
Kini Komunitas Teater DKI Gabung Gaspoll Bro Siap Dukung Prabowo-Gibran,soft
Pj Bupati Kudus Bergas Catur Diganti Usai 3 Bulan Menjabat,hard
Relawan RUMI Yakin Elektablitas Prabowo-Gibran akan Naik Usai Debat Capres,hard
Zulhas Hadiri Magelang Selawat untuk Pemilu Damai: Beda Pilihan Tetap Saudara,hard
Guru Honorer Jawa Timur Ikut Gabung Gaspoll Bro Menangkan Prabowo-Gibran,soft
"Hadiri Konser Dewa 19 di Bali, Gibran Minta Anak Muda Rukun dan Saling Dukung",soft
Habib Syech Doakan Zulhas Jalankan Amanat Negara dengan Sempurna,hard
Ganjar Janji Kembangkan Hetero Space ke Nasional Jika Jadi Presiden,hard
"Tiba di Filipina, Jokowi Disambut Menseskab Filipina Carlito Falvez",hard
Nasib Pemeran Film Porno Usai Jadi Tersangka tapi Belum Ditahan,hard
Ketum Prabu Klarifikasi soal DPD Bali Bubarkan Diri karena Tak Diajak Konser,hard
Kata JK soal Debat Ketiga Capres Dinilai Banyak Serang Urusan Personal,hard
"Wapres Ma'ruf Amin Ikut Salam Metal di HUT PDIP, JK Bilang Begini",hard
JK Ingatkan Netralitas Pemilu: Ada di Sumpah Presiden,hard
Poin-poin Hasil Pertemuan Jokowi dan Bongbong Marcos Jr di Filipina,hard
"Kelakar Hasto PDIP Sebut Jokowi Lupa Angka 3, Apa Maksudnya?",soft
"Mahfud Kunjungi Gereja Santa Maria di Surabaya, Jamin Keamanan Beribadah",hard
"Hari ke-44 Kampanye, Ganjar Menginap di Rumah Guru Honorer di Tegal",hard
Polsek Kebayoran Baru Sosialisasi Pemilu Damai hingga ke Hotel,hard
Kata KPU soal PPATK Temukan Rp 195 M dari Luar Negeri ke 21 Bendahara Parpol,hard
"KPU Sudah Tegur Grace soal Aksi Hampiri Moderator, Ingatkan Tata Tertib Debat",hard
Irak Mendesak Pasukan Militer AS Angkat Kaki dari Negaranya,hard
"Hasto soal Anies Ucapkan HUT PDIP: Terima Kasih, Kita Sama-sama Berjuang",hard
Kaesang soal Pengeluaran Dana Kampanye PSI Rp 180 Ribu: Itu Salah Input,hard
Kata JK soal Peluang Kubu Anies-Ganjar Berkoalisi,hard
Jusuf Kalla: Apa yang Perlu Dirahasiakan Kalau Hanya Alutsista?,hard
Legislator Gerindra Novita Wijayanti Ajak Warga Wujudkan Masa Depan Hijau Berkelanjutan,hard
"13 Jam Diperiksa soal Pemerasan, SYL Nyatakan Sudah Beri Semua Jawaban",hard
"Komunitas Sepak Bola Banten Juga Ikut Gaspoll Bro, Siap Dukung Prabowo-Gibran",soft
Petani Lamongan Ikut Gabung Gaspoll Bro Totalitas Menangkan Prabowo-Gibran,soft
Afsel: Serangan Hamas Tak Bisa Jadi Pembenaran Israel Lakukan Genosida Gaza,hard
"Banjir Terjang Dayeuhkolot Bandung, Warga: Mirip Tsunami",hard
Papua Nugini Mencekam: Kerusuhan dan Penjarahan Tak Teredam,hard
"Penembak Relawan Prabowo Dijanjikan Rp 500 Juta, Baru Dibayar Rp 50 Juta",hard
"Kelakar Ganjar: Kalau Swasta Bisa, Jangan-jangan BUMN Tak Kita Perlukan Lagi",hard
"Hujan Deras, Jalur Wonosobo-Dieng Longsor dan Retak!",hard
"Gugatan soal Masa Jabatan Dikabulkan MK, Kepala Daerah Sepakat Kawal RPJP",hard
Prabowo Tutup Kampanye 3 Provinsi dengan Joget Gemoy di Bangka Belitung,soft
"PPATK Monitor 100 Caleg gegara Transaksi Mencurigakan Rp 51 T, Ini Kata KPK",hard
"Isu Anies & Ganjar Bersatu di Debat Capres, TKN: Jagoan Selalu Dikeroyok",hard
Cak Imin Minta Polisi Usut Temuan PPATK soal Dana Rp 195 M ke 21 Parpol,hard
PPP Anggap Kader Partai Dukung Paslon Lain Sebagai Penyelundup,hard
Jalanan Kosong di Ekuador Buntut Geng Kriminal Menebar Teror,hard
"Lagi, Prabowo Ungkapkan Peribahasa Air Susu Dibalas Air Tuba",soft
"MEBNI Minta Dukungan Bangun PLTN, Wapres Ma'ruf Akan Bicarakan dengan Jokowi",hard
"Beredar Isu Tak Laporkan Mobil di LHKPN, Kepala PPATK Buka Suara",hard
Gibran Ajak Edho Zhell Kembangkan UMKM di Solo,soft
Anies-Cak Imin Hingga Said Aqil Hadiri Haul KH Bisri Syansuri di Jombang,hard
"Timnas AMIN Sebut Mulai Banyak Ancaman, Bakal Koordinasi dengan Polisi",hard
TKN Nilai Serangan Anies di Debat karena Anggap Prabowo Bukan Siapa-siapa,hard
TKN Sambut Baik soal Kedekatan Kubu Anies dan Ganjar: Itu Proses Demokrasi,hard
Siasat Trio Bandit Bobol ATM Rp 500 Juta di Jakarta Tanpa 'Orang Dalam',hard
Ganjar Targetkan Menang 60% di Jatim: Ini Tidak Gampang,hard
Aksi Gagal Pria Hendak Curi Tas Pekerja Bangunan di Jakbar,hard
Timnas AMIN Kritik Proyek Giant Sea Wall: Bakal Rusak Lingkungan,hard
Anies Akan Alokasikan Anggaran Perawatan Cagar Budaya Jika Terpilih Presiden,hard
"Sindikat Curanmor di Jakbar Ditangkap, Motor Curian Dijual ke Lebak",hard
Ganjar Ngaku Tak Janjian dengan Cak Imin Ziarah ke Makam Bisri Syansuri,hard
SIti Atikoh Ganjar Ikut Buat Kerupuk Kemplang Khas Palembang,hard
Airin dan Barisan RFG Gelar Tebus Murah 2 Ribu Paket Sembako di Banten,hard
Jenis Sistem Pemilu di Dunia dan yang Digunakan Indonesia,hard
Paguyuban Ojol Gabung Gaspoll Bro Sepakat Dukung Prabowo-Gibran,soft
"Korban Tewas Akibat Tanah Longsor di Kolombia Bertambah, Jadi 23 Orang",hard
"Ganjar: Kita di Negara Berbhineka, Tak Ada yang Bisa Klaim Paling Berjasa",hard
Relawan T4G Kabupaten Alor Deklarasi Dukung Prabowo-Gibran,soft
"Pemotor Masuk Tol Jagorawi Hendak ke Puncak, Tersasar karena Ikuti Peta",hard
Laut Merah Makin Panas Usai Serangan Serangan AS-Inggris ke Yaman Dibalas,hard
Kini Giliran UMKM DKI Jakarta Gabung Gaspoll Bro Dukung Prabowo-Gibran,soft
"Soal Spanduk Pemilu Aman, Anggota DPRD DKI Nilai Heru Budi Fokus Kerja",hard
"2 Anak Hanyut di Sungai Dalam Sepekan, Walkot Semarang Pesan Hal Ini",hard
"Ganjar Apresiasi Polisi Tangkap Pengancam Tembak Anies: Bagus, Gerak Cepat",hard
"Pemotor Nyelonong Tol Jagorawi Berakhir Ditilang Polisi, STNK Disita!",hard
Komunitas Musik Jakarta Ikut Bersama Gaspoll Bro Menangkan Prabowo-Gibran,soft
Dirut Lintasarta Bicara Pentingnya Literasi Teknologi di Indonesia,hard
Terungkap Alasan Diubahnya Nama Halte TransJakarta,hard
Ahli Bahasa UI: Pernyataan Kapolri soal 'Estafet Kepemimpinan' Tak Bermasalah,hard
Kondisi Terkini Remaja 15 Tahun Usai Diperkosa Ayah Tiri di Tangerang,hard
Muhammadiyah Salut Polisi Tangkap Pengancam Tembak Anies: Bukti Tak Memihak,hard
Seloroh Airlangga Respons Megawati 'Turun Gunung': Kita Kan di Daratan Terus,hard
Truk Terbakar di Tol Jatinegara Diduga gegara Korsleting Listrik,hard
"Di Acara Natal Nasional Golkar, Airlangga Ungkit Peran Jokowi di Diplomasi RI",hard
Cak Imin Jelaskan Maksud 'Wisata Halal dan Haram': Bukan Mau Diseragamkan,hard
Aksi Heroik Polantas Duel dengan Begal Bersajam di Bogor,hard
TKN Nilai Statemen JK soal 'Kawan Marah' Tak Relevan dalam Diplomasi Modern,hard
Serba-Serbi Royal Bersanding Ceremony Pangeran Brunei,hard
"Sinta Wahid dkk Temui SBY, Kawal Kerukunan Bangsa di Pemilu 2024",hard
"Gaet Pemilih Muda, Caleg Demokrat Gelar Kompetisi Esport di FX Senayan",hard
"Isu Kubu AMIN dan Ganjar Bersatu, TKN: Jagoan Selalu Dikeroyok",hard
"2 Bulan Terakhir, Prabowo Safari Politik ke 10 Provinsi di Pulau Sumatera",hard
Protes China ke AS Buntut Ucapan Selamat ke Presiden Baru Taiwan,hard
"Emak-emak di Banten Gabung Gaspoll Bro, Beri Dukungan ke Prabowo-Gibran",soft
"Jimly Bicara Takut Kalah soal Pemakzulan Jokowi, PDIP Bilang Begini",hard
Seputar Tanggal 15 Januari Memperingati Hari Dharma Samudera,soft
Barisan RFG Sumsel Borong Sembako di Toko Kelontong untuk Tebus Murah,hard
"Sosok Subandi, Polantas yang Lumpuhkan Pria Bergolok Aniaya Warga di Bogor",hard
"Prabowo Sebut Persahabatan dengan Jokowi Tak Pernah Putus, Ini Kata Ganjar",hard
"TKN Bentuk 500 Posko Aduan, Hasilnya Akan Dilaporkan ke Mahfud Md",hard
PDIP Terima Pengunduran Diri Maruarar Sirait,hard
Ganjar Soroti Jaminan Keselamatan Kerja dan Kesehatan Penderes Kelapa,hard
"Kunjungi Pabrik Garmen di Banjarnegara, Ganjar Nilai Ekonomi Belum Pulih 100%",hard
"Cek Gudang KPU, Polres-Kodim Bogor Siap Kawal Pemilu",hard
Wamenhan Bicara Kesulitan Proses Pengadaan Alutsista Baru,hard
Pencuri Sepatu Berkedok Pemulung Ditangkap Warga di Pancoran Jaksel,hard
Relawan SIGAP Maksimalkan Waktu Menuju Pemilihan Gaet Suara Generasi Muda,hard
KPU Pandeglang Temukan Surat Suara Pilpres dan DPRD Banten Rusak,hard
KPU Akan Batasi Pengawal Pribadi Capres-Cawapres Masuk ke Venue Debat,hard
"TKN Terkejut Ara Pamit dari PDIP, Bicara Sinyal Gabung Prabowo-Gibran",hard
Panas Menhan Israel vs Netanyahu hingga Angkat Kaki dari Rapat,hard
KPU Akan Pakai Handy Talkie Komunikasi ke Tim Paslon saat Debat Keempat,hard
"Jimly Bicara Takut Kalah soal Pemakzulan Jokowi, PDIP: Jadikan Kritik Saja",hard
Kapal-kapal Kargo Diserang Misil di Laut Merah dekat Yaman,hard
TKN Pastikan Gibran Tak Akan Serang Personal di Debat Kedua Cawapres,hard
KPK Bicara soal Kasus Lukas Enembe yang Sudah Meninggal,hard
Pintu Rekonsiliasi dengan Korsel Ditutup Rapat-rapat Kim Jong Un,hard
"Ketua BEM UGM hingga Unpad Bentuk Forum Anomali, Apa Maksudnya?",soft
Kemensos Bantah Terima Aliran Uang dari Perusahaan Jerman SAP,hard
"Mobil BMW Terbakar di Mal Jakpus karena Mesin Overheat, Kini Sudah Padam",hard
Kata Ketua KPK Nawawi Pernah Sindir Debat Capres Jadi Debat Kusir: Kelepasan,hard
Kasus Anak Anggota DPRD Kepri Dikeroyok Satria 'Cogil' Berakhir Damai,hard
Polisi Selidiki Heboh Dugaan Sekte Pengabdi Setan di Kota Malang,hard
Panas Serangan Iran hingga Irak Siap-siap Buat Aduan,hard
Cipayung Plus DKI Jakarta Dorong Pemilu Damai Tanpa Politik Uang,hard
"MUI Bersama Para Majelis Agama Deklarasi 7 Poin Pemilu Damai, Ini Isinya",hard
Legislator Pastikan Anggota Dewan Tetap Kerja Meski Masuk Tahun Politik,hard
"Cegah Korupsi, Prabowo Bicara Perbaikan Kualitas Hidup Pengambil Keputusan",hard
Anies Bakal Dorong Pengesahan RUU Pendanaan Politik demi Cegah Korupsi,hard
Barisan RFG Tebus Murah 2 Ribu Paket Sembako: Banten All In Prabowo-Gibran,hard
"Bendera Parpol Bikin Celaka, Bawaslu RI Bakal Koordinasi dengan Pemda",hard
Relawan Kooperatif Deklarasi Dukung Prabowo-Gibran di 2024,hard
"Anies Janji Perkuat LHKPN, Bakal Demosi Pejabat Tak Patuh Lapor Harta",hard
Ganjar Bicara Pentingnya TNI Bantu Penegak Hukum Berantas Illegal Economy,hard
Prabowo Bicara 2 Langkah Upaya untuk Berantas Korupsi,hard
Airlangga Pastikan Isu Pemakzulan Jokowi Tak Dibahas di Golkar dan DPR,hard
4 Fakta Ada Truk Sampah di Jakarta Disorot Sebab Pintu Nyaris Copot,hard
Cak Imin: Jangan Sampai Ada Penegakan Korupsi Berbau Kriminalisasi,hard
"Rilis Buku Ke-32, Bamsoet Tegaskan Pentingnya Hargai Keputusan MK",hard
Jurus KLHK Kendalikan Deforestasi dan Karhutla di Indonesia,hard
TPN: Ganjar-Mahfud Bakal Mulai Kampanye Akbar di Bandung dan Sidoarjo,hard
Airlangga Ungkap Kampanye Terakhir Golkar Akan Digelar di IKN,hard
"Terima Dukungan dari Notaris dan PPAT NP3BA, Timnas AMIN Ajak Jaga TPS",soft
"Sri Mulyani Disebut Siap Mundur dari Kabinet, Ganjar: Saya Kurang Tahu",hard
Warga Pesisir Pontianak Tebus Murah Sembako dari Barisan RFG,soft
"Silaturahmi ke Konferensi Wali Gereja, Anies Janji Akan Adil dalam Kebijakan",hard
Ganjar Sebut Permasalahan Pupuk Akan Dibahas Mahfud di Debat Keempat,hard
"Awan Panas Keluar dari Gunung Merapi Sejauh 2,4 Km Malam Ini",hard
Kejagung Geledah Rumah dan Kantor Crazy Rich Surabaya Budi Said,hard
Mundurnya Maruarar Sirait Dari PDIP Dinilai dapat Perkuat Prabowo-Gibran,hard
Pemprov Sulut Bantah Kerahkan Dharma Wanita saat Istri Ganjar ke Manado,hard
"Wanita Tewas di Kontrakan di Depok, Ibu Terduga Pelaku Lapor Polisi",hard
Bamsoet Bicara Peran Kader PP di Pemilu 2024: Ada di Mana-mana,hard
Pilu Bocah 3 Tahun Disengat Tawon hingga Tewas di Puncak,hard
"2 Desa di Bondowoso Diterjang Hujan Puting Beliung, Puluhan Rumah Rusak",hard
"Pria Bunuh Pria di Serang, Korban dan Pelaku Terlibat Hubungan Sejenis",hard
"Anies soal Isu Wadas: Harus Duduk Bersama, Proses Negosiasi Panjang",hard
PPLN Kuala Lumpur Bantah Intimidasi WNI Tak Terdaftar di DPT Pemilu 2024,hard
"Deklarasi Dukung Prabowo-Gibran, Inkop TKBM Harap Eksistensi-Kepastian Usaha",soft
Pecah! Kapolri Nyanyi 'Koyo Jogja Istimewa' Bareng Ndarboy Genk,soft
Penegasan soal Gubernur Jakarta Tetap Dipilih Rakyat Usai Berstatus DKJ,hard
"Imbau Masyarakat Waspadai Love Scamming, Polri: Jangan Teperdaya Rayu",hard
Massa Mulai Berdatangan ke GBK Jelang Harlah Muslimat NU,hard
"Kapolri Puji Lagu 'Polisi Jagoanku', Jadi Semangat Beri Pengabdian ke Warga",hard
Lagi-lagi Siskaeee Tersangka Kasus Film Porno Absen Pemeriksaan Polisi,hard
Ibunda Kayla Histeris Tahu Putrinya Tewas Dibunuh Pacar di Depok,hard
Panwascam Mampang Tertibkan Bendera Parpol yang Ganggu Lalin Flyover Kuningan,hard
Kebijakan Pangan dan Pertanian Jokowi Dinilai Sudah Relatif Bagus,hard
Jos! Butet dan Ndarboy Genk Kolaborasi Bikin Lagu 'Polisi Jagoanku' untuk Polri,soft
7 Fakta Laut Merah Kian Memanas,hard
TPN Sebut Persiapan Mahfud Matang Hadapi Debat Kedua Cawapres,hard
Berani Pastikan Kawal AMIN Buka Dialog Dengan Tokoh Lintas Agama,hard
Cerita Pemilik Rumah soal Video Viral 'Kuyang' di Cileungsi Bogor,hard
Airlangga Minta Relawan Muda di Garut Tak Libur Menangkan Prabowo-Gibran,hard
Caleg di Purworejo Jadi Tersangka Usai Libatkan Bocah di Konten Kampanye,hard
"Ingin Raup Suara Daerah Basis 03, Relawan Gibran Gelar Konser di Jakut",soft
Slank Dukung Ganjar-Mahfud: Kita Masih Konsisten,soft
Bertambah Negara yang Seret Israel ke Mahkamah Internasional,hard
KKB Bakar Rumah Dinas Anggota DPRD Intan Jaya hingga Teror Warga,hard
Adu Ide Prabowo dan Ganjar: Makan Siang Gratis atau Internet Gratis,soft
Pedagang Daging Anjing di Solo Minta Audiensi ke Pemkot-Pecinta Hewan,hard
ADKI soal Isu 15 Menteri Mundur: Ada Kelompok Khawatir RI Maju,hard
Khofifah Membuang Syak Wasangka Politisasi Panggung Muslimat NU,hard
"Sadis! Bocah SMP di Surabaya Dicabuli Ayah, Kakak dan 2 Paman",hard
TKN: Kelebihan Gibran Saat Debat Mampu Berikan Contoh Relevan,hard
"RI: Gerakan Non-Blok Wajib Dukung Palestina, Tak Boleh Diam Lihat Gaza",hard
3 Fakta Baru Kasus Argiyan Bunuh Mahasiswi di Depok,hard
Isu 15 Menteri Siap Mundur Ditepis Jokowi,hard
Bos PPI: Mahfud-Cak Imin Kelihatan Canggung Saat Diserang Gibran,hard
Kelakar Cak Imin Mau Telepon Tom Lembong usai Debat: Ada yang Rindu,hard
"Barisan RFG Sumsel Tebus Murah 2 Ribu Paket Sembako, Ajak Gen Z Pilih 02",hard
"Cak Imin: Tantangan Zaman Now, Butuh Solusi Zaman Now, Berarti CakimiNOW",hard
"22 Pemuda Hendak Tawuran di Bogor Ditangkap, Golok hingga Celurit Disita",hard
Lengkap! Closing Statement Cak Imin-Gibran-Mahfud di Debat Keempat Pilpres,hard
Mobil Pikap Angkut Jagung Pecah Ban hingga Terbalik di Tol Bocimi,hard
