,title,label,new_title,Tokeniz,new_title2,stemmed_title
24,"Kaesang Hadiri Nobar di Tangsel, Jadi Rebutan Selfie Ibu-Ibu",soft,kaesang hadiri nobar di tangsel jadi rebutan selfie ibuibu,"['kaesang', 'hadiri', 'nobar', 'di', 'tangsel', 'jadi', 'rebutan', 'selfie', 'ibuibu']","['hadiri', 'nobar', 'tangsel', 'rebutan', 'selfie', 'ibuibu']","['hadir', 'nobar', 'tangsel', 'rebut', 'selfie', 'ibuibu']"
25,TKN Bakal Laporkan Jajaran Bawaslu Jakpus ke DKPP Buntut Pemanggilan Gibran,hard,tkn bakal laporkan jajaran bawaslu jakpus ke dkpp buntut pemanggilan gibran,"['tkn', 'bakal', 'laporkan', 'jajaran', 'bawaslu', 'jakpus', 'ke', 'dkpp', 'buntut', 'pemanggilan', 'gibran']","['tkn', 'laporkan', 'jajaran', 'bawaslu', 'jakpus', 'dkpp', 'buntut', 'pemanggilan']","['tkn', 'lapor', 'jajar', 'bawaslu', 'jakpus', 'dkpp', 'buntut', 'panggil']"
26,Keluarga Ungkap Rizal Ramli Tak Ingin Publik Tahu Dirinya Sakit,soft,keluarga ungkap rizal ramli tak ingin publik tahu dirinya sakit,"['keluarga', 'ungkap', 'rizal', 'ramli', 'tak', 'ingin', 'publik', 'tahu', 'dirinya', 'sakit']","['keluarga', 'rizal', 'ramli', 'publik', 'sakit']","['keluarga', 'rizal', 'ramli', 'publik', 'sakit']"
27,KPU Sudah Terima Surat Keberatan TKN soal MNC Jadi Penyelenggara Debat Ketiga,hard,kpu sudah terima surat keberatan tkn soal mnc jadi penyelenggara debat ketiga,"['kpu', 'sudah', 'terima', 'surat', 'keberatan', 'tkn', 'soal', 'mnc', 'jadi', 'penyelenggara', 'debat', 'ketiga']","['kpu', 'terima', 'surat', 'keberatan', 'tkn', 'mnc', 'penyelenggara', 'debat', 'ketiga']","['kpu', 'terima', 'surat', 'berat', 'tkn', 'mnc', 'selenggara', 'debat', 'tiga']"
28,"Jokowi Temui Warga Penerima Manfaat di Jateng, Pastikan Distribusi Bantuan",soft,jokowi temui warga penerima manfaat di jateng pastikan distribusi bantuan,"['jokowi', 'temui', 'warga', 'penerima', 'manfaat', 'di', 'jateng', 'pastikan', 'distribusi', 'bantuan']","['temui', 'penerima', 'manfaat', 'jateng', 'pastikan', 'distribusi', 'bantuan']","['temu', 'terima', 'manfaat', 'jateng', 'pasti', 'distribusi', 'bantu']"
29,Mardiono Anggap Mantan Kader PPP yang Dukung Prabowo-Gibran Penyusup,hard,mardiono anggap mantan kader ppp yang dukung prabowogibran penyusup,"['mardiono', 'anggap', 'mantan', 'kader', 'ppp', 'yang', 'dukung', 'prabowogibran', 'penyusup']","['mardiono', 'anggap', 'mantan', 'kader', 'ppp', 'penyusup']","['mardiono', 'anggap', 'mantan', 'kader', 'ppp', 'susup']"
30,Bawaslu Pamekasan Usut Aksi Gus Miftah Bagi-bagi Uang,hard,bawaslu pamekasan usut aksi gus miftah bagibagi uang,"['bawaslu', 'pamekasan', 'usut', 'aksi', 'gus', 'miftah', 'bagibagi', 'uang']","['bawaslu', 'pamekasan', 'usut', 'aksi', 'gus', 'miftah', 'bagibagi', 'uang']","['bawaslu', 'pamekasan', 'usut', 'aksi', 'gus', 'miftah', 'bagibagi', 'uang']"
31,Kaesang Minta Pengurus PSI Banten Menangkan Prabowo-Gibran Satu Putaran,hard,kaesang minta pengurus psi banten menangkan prabowogibran satu putaran,"['kaesang', 'minta', 'pengurus', 'psi', 'banten', 'menangkan', 'prabowogibran', 'satu', 'putaran']","['pengurus', 'psi', 'banten', 'menangkan', 'putaran']","['urus', 'psi', 'banten', 'menang', 'putar']"
32,TPN Ganjar-Mahfud Pastikan Tetap Dukung Penyaluran Bansos saat Pemilu,hard,tpn ganjarmahfud pastikan tetap dukung penyaluran bansos saat pemilu,"['tpn', 'ganjarmahfud', 'pastikan', 'tetap', 'dukung', 'penyaluran', 'bansos', 'saat', 'pemilu']","['tpn', 'ganjarmahfud', 'pastikan', 'penyaluran', 'bansos', 'pemilu']","['tpn', 'ganjarmahfud', 'pasti', 'salur', 'bansos', 'milu']"
33,Arya Wedakarna Juga Dilaporkan ke Polda Bali soal Ucapan Penutup Kepala,hard,arya wedakarna juga dilaporkan ke polda bali soal ucapan penutup kepala,"['arya', 'wedakarna', 'juga', 'dilaporkan', 'ke', 'polda', 'bali', 'soal', 'ucapan', 'penutup', 'kepala']","['arya', 'wedakarna', 'dilaporkan', 'polda', 'bali', 'ucapan', 'penutup', 'kepala']","['arya', 'wedakarna', 'lapor', 'polda', 'bal', 'ucap', 'tutup', 'kepala']"
34,Mahfud Minta Umat Islam di RI Melebur: Tak Boleh Berkiblat ke Timur Tengah,hard,mahfud minta umat islam di ri melebur tak boleh berkiblat ke timur tengah,"['mahfud', 'minta', 'umat', 'islam', 'di', 'ri', 'melebur', 'tak', 'boleh', 'berkiblat', 'ke', 'timur', 'tengah']","['mahfud', 'umat', 'islam', 'ri', 'melebur', 'berkiblat', 'timur']","['mahfud', 'umat', 'islam', 'ri', 'lebur', 'kiblat', 'timur']"
35,"Ganjar Ungkap Hasil Rapat TPN, Bahas Persiapan Debat-Relawan Dikeroyok",hard,ganjar ungkap hasil rapat tpn bahas persiapan debatrelawan dikeroyok,"['ganjar', 'ungkap', 'hasil', 'rapat', 'tpn', 'bahas', 'persiapan', 'debatrelawan', 'dikeroyok']","['hasil', 'rapat', 'tpn', 'bahas', 'persiapan', 'debatrelawan', 'dikeroyok']","['hasil', 'rapat', 'tpn', 'bahas', 'siap', 'debatrelawan', 'keroyok']"
36,Upaya Jasa Raharja Optimalkan Layanan untuk Masyarakat,soft,upaya jasa raharja optimalkan layanan untuk masyarakat,"['upaya', 'jasa', 'raharja', 'optimalkan', 'layanan', 'untuk', 'masyarakat']","['upaya', 'jasa', 'raharja', 'optimalkan', 'layanan', 'masyarakat']","['upaya', 'jasa', 'raharja', 'optimal', 'layan', 'masyarakat']"
37,"Eks Gubernur Bali Wayan Koster Diperiksa Polisi, Ada Apa?",hard,eks gubernur bali wayan koster diperiksa polisi ada apa,"['eks', 'gubernur', 'bali', 'wayan', 'koster', 'diperiksa', 'polisi', 'ada', 'apa']","['eks', 'gubernur', 'bali', 'wayan', 'koster', 'diperiksa', 'polisi']","['eks', 'gubernur', 'bal', 'wayan', 'koster', 'periksa', 'polisi']"
38,KPU Pandeglang Terima Surat Suara Presiden dan Wakil Presiden,hard,kpu pandeglang terima surat suara presiden dan wakil presiden,"['kpu', 'pandeglang', 'terima', 'surat', 'suara', 'presiden', 'dan', 'wakil', 'presiden']","['kpu', 'pandeglang', 'terima', 'surat', 'suara', 'presiden', 'wakil', 'presiden']","['kpu', 'pandeglang', 'terima', 'surat', 'suara', 'presiden', 'wakil', 'presiden']"
39,4 Jukir Mabuk Pengeroyok Oknum Polisi di Tangsel Jadi Tersangka,hard,jukir mabuk pengeroyok oknum polisi di tangsel jadi tersangka,"['jukir', 'mabuk', 'pengeroyok', 'oknum', 'polisi', 'di', 'tangsel', 'jadi', 'tersangka']","['jukir', 'mabuk', 'pengeroyok', 'oknum', 'polisi', 'tangsel', 'tersangka']","['jukir', 'mabuk', 'keroyok', 'oknum', 'polisi', 'tangsel', 'sangka']"
40,Dirut Jasa Raharja Sambut Baik 4 Terminal Bus Baru di Purworejo-Blitar,hard,dirut jasa raharja sambut baik terminal bus baru di purworejoblitar,"['dirut', 'jasa', 'raharja', 'sambut', 'baik', 'terminal', 'bus', 'baru', 'di', 'purworejoblitar']","['dirut', 'jasa', 'raharja', 'sambut', 'terminal', 'bus', 'purworejoblitar']","['dirut', 'jasa', 'raharja', 'sambut', 'terminal', 'bus', 'purworejoblitar']"
41,Jasa Raharja Jamin Santunan Korban Kecelakaan Bus Bhinneka di Tol Japek,hard,jasa raharja jamin santunan korban kecelakaan bus bhinneka di tol japek,"['jasa', 'raharja', 'jamin', 'santunan', 'korban', 'kecelakaan', 'bus', 'bhinneka', 'di', 'tol', 'japek']","['jasa', 'raharja', 'jamin', 'santunan', 'korban', 'kecelakaan', 'bus', 'bhinneka', 'tol', 'japek']","['jasa', 'raharja', 'jamin', 'santun', 'korban', 'celaka', 'bus', 'bhinneka', 'tol', 'japek']"
42,Cak Imin Terima Dukungan Laskar Santri AMIN Jawa Barat di Sumedang,hard,cak imin terima dukungan laskar santri amin jawa barat di sumedang,"['cak', 'imin', 'terima', 'dukungan', 'laskar', 'santri', 'amin', 'jawa', 'barat', 'di', 'sumedang']","['terima', 'dukungan', 'laskar', 'santri', 'amin', 'jawa', 'barat', 'sumedang']","['terima', 'dukung', 'laskar', 'santri', 'amin', 'jawa', 'barat', 'sumedang']"
43,"Sowan ke Ponpes Assyfa di Sumedang, Cak Imin Didoakan Abuya Muhyiddin",hard,sowan ke ponpes assyfa di sumedang cak imin didoakan abuya muhyiddin,"['sowan', 'ke', 'ponpes', 'assyfa', 'di', 'sumedang', 'cak', 'imin', 'didoakan', 'abuya', 'muhyiddin']","['sowan', 'ponpes', 'assyfa', 'sumedang', 'didoakan', 'abuya', 'muhyiddin']","['sowan', 'ponpes', 'assyfa', 'sumedang', 'doa', 'abuya', 'muhyiddin']"
44,Pengacara Ungkap James Merasa Dihantui-Tak Bisa Tidur Usai Mutilasi Istri,hard,pengacara ungkap james merasa dihantuitak bisa tidur usai mutilasi istri,"['pengacara', 'ungkap', 'james', 'merasa', 'dihantuitak', 'bisa', 'tidur', 'usai', 'mutilasi', 'istri']","['pengacara', 'james', 'dihantuitak', 'tidur', 'mutilasi', 'istri']","['acara', 'james', 'dihantuitak', 'tidur', 'mutilasi', 'istri']"
45,"Prabowo Soal Program Bagi Susu Gratis: Mungkin Harus Impor 1,5 Juta Sapi",hard,prabowo soal program bagi susu gratis mungkin harus impor juta sapi,"['prabowo', 'soal', 'program', 'bagi', 'susu', 'gratis', 'mungkin', 'harus', 'impor', 'juta', 'sapi']","['program', 'susu', 'gratis', 'impor', 'juta', 'sapi']","['program', 'susu', 'gratis', 'impor', 'juta', 'sapi']"
46,MenPAN-RB dan Mensos Bahas Integrasi Layanan Sosial di Portal Nasional,hard,menpanrb dan mensos bahas integrasi layanan sosial di portal nasional,"['menpanrb', 'dan', 'mensos', 'bahas', 'integrasi', 'layanan', 'sosial', 'di', 'portal', 'nasional']","['menpanrb', 'mensos', 'bahas', 'integrasi', 'layanan', 'sosial', 'portal', 'nasional']","['menpanrb', 'mensos', 'bahas', 'integrasi', 'layan', 'sosial', 'portal', 'nasional']"
47,AS dan China Kerahkan Kapal Perang Bikin Laut China Selatan Kian Tegang,hard,as dan china kerahkan kapal perang bikin laut china selatan kian tegang,"['as', 'dan', 'china', 'kerahkan', 'kapal', 'perang', 'bikin', 'laut', 'china', 'selatan', 'kian', 'tegang']","['as', 'china', 'kerahkan', 'kapal', 'perang', 'bikin', 'laut', 'china', 'selatan', 'kian', 'tegang']","['as', 'china', 'kerah', 'kapal', 'perang', 'bikin', 'laut', 'china', 'selatan', 'kian', 'tegang']"
48,"Aniaya Anak Anggota DPRD Kepri, Seleb TikTok Satria Mahathir Ditangkap",hard,aniaya anak anggota dprd kepri seleb tiktok satria mahathir ditangkap,"['aniaya', 'anak', 'anggota', 'dprd', 'kepri', 'seleb', 'tiktok', 'satria', 'mahathir', 'ditangkap']","['aniaya', 'anak', 'anggota', 'dprd', 'kepri', 'seleb', 'tiktok', 'satria', 'mahathir', 'ditangkap']","['aniaya', 'anak', 'anggota', 'dprd', 'kepri', 'seleb', 'tiktok', 'satria', 'mahathir', 'tangkap']"
49,TKN Prabowo-Gibran Tegaskan Program Bagi-bagi Susu Tetap Lanjut,hard,tkn prabowogibran tegaskan program bagibagi susu tetap lanjut,"['tkn', 'prabowogibran', 'tegaskan', 'program', 'bagibagi', 'susu', 'tetap', 'lanjut']","['tkn', 'tegaskan', 'program', 'bagibagi', 'susu']","['tkn', 'tegas', 'program', 'bagibagi', 'susu']"
50,Bantahan AS di Balik Ledakan Maut Tewaskan Puluhan Orang di Iran,hard,bantahan as di balik ledakan maut tewaskan puluhan orang di iran,"['bantahan', 'as', 'di', 'balik', 'ledakan', 'maut', 'tewaskan', 'puluhan', 'orang', 'di', 'iran']","['bantahan', 'as', 'ledakan', 'maut', 'tewaskan', 'puluhan', 'orang', 'iran']","['bantah', 'as', 'ledak', 'maut', 'tewas', 'puluh', 'orang', 'iran']"
51,"Gibran Disebut Langgar Aturan CFD, Anies Singgung Kampanye Dihalangi",hard,gibran disebut langgar aturan cfd anies singgung kampanye dihalangi,"['gibran', 'disebut', 'langgar', 'aturan', 'cfd', 'anies', 'singgung', 'kampanye', 'dihalangi']","['langgar', 'aturan', 'cfd', 'singgung', 'kampanye', 'dihalangi']","['langgar', 'atur', 'cfd', 'singgung', 'kampanye', 'halang']"
52,"Todong Sajam-Peras Turis Asing, Sopir Taksi di Bali Diburu Polisi",hard,todong sajamperas turis asing sopir taksi di bali diburu polisi,"['todong', 'sajamperas', 'turis', 'asing', 'sopir', 'taksi', 'di', 'bali', 'diburu', 'polisi']","['todong', 'sajamperas', 'turis', 'asing', 'sopir', 'taksi', 'bali', 'diburu', 'polisi']","['todong', 'sajamperas', 'turis', 'asing', 'sopir', 'taksi', 'bal', 'buru', 'polisi']"
53,"Hujan Lebat, Rumah Kosong Tak Beratap di Pasar Minggu Roboh",hard,hujan lebat rumah kosong tak beratap di pasar minggu roboh,"['hujan', 'lebat', 'rumah', 'kosong', 'tak', 'beratap', 'di', 'pasar', 'minggu', 'roboh']","['hujan', 'lebat', 'rumah', 'kosong', 'beratap', 'pasar', 'minggu', 'roboh']","['hujan', 'lebat', 'rumah', 'kosong', 'atap', 'pasar', 'minggu', 'roboh']"
54,3 Fakta Jalan Olimo Jakbar Ambles hingga Sempat Bikin Macet,hard,fakta jalan olimo jakbar ambles hingga sempat bikin macet,"['fakta', 'jalan', 'olimo', 'jakbar', 'ambles', 'hingga', 'sempat', 'bikin', 'macet']","['fakta', 'jalan', 'olimo', 'jakbar', 'ambles', 'bikin', 'macet']","['fakta', 'jalan', 'olimo', 'jakbar', 'ambles', 'bikin', 'macet']"
55,"Komunitas Basket Jakarta Gabung Gaspol Bro, Ikut Dukung ke Prabowo-Gibran",soft,komunitas basket jakarta gabung gaspol bro ikut dukung ke prabowogibran,"['komunitas', 'basket', 'jakarta', 'gabung', 'gaspol', 'bro', 'ikut', 'dukung', 'ke', 'prabowogibran']","['komunitas', 'basket', 'gabung', 'gaspol', 'bro']","['komunitas', 'basket', 'gabung', 'gaspol', 'bro']"
56,Pemkot Semarang Beri Santunan Program JKK Rp 255 Juta ke Pegawai Non-ASN,hard,pemkot semarang beri santunan program jkk rp juta ke pegawai nonasn,"['pemkot', 'semarang', 'beri', 'santunan', 'program', 'jkk', 'rp', 'juta', 'ke', 'pegawai', 'nonasn']","['pemkot', 'semarang', 'santunan', 'program', 'jkk', 'rp', 'juta', 'pegawai', 'nonasn']","['pemkot', 'semarang', 'santun', 'program', 'jkk', 'rp', 'juta', 'pegawai', 'nonasn']"
57,Viral Pajero Ringsek Ditabrak Bus Haryanto lalu Ditinggal di Tol Batang,hard,viral pajero ringsek ditabrak bus haryanto lalu ditinggal di tol batang,"['viral', 'pajero', 'ringsek', 'ditabrak', 'bus', 'haryanto', 'lalu', 'ditinggal', 'di', 'tol', 'batang']","['viral', 'pajero', 'ringsek', 'ditabrak', 'bus', 'haryanto', 'ditinggal', 'tol', 'batang']","['viral', 'pajero', 'ringsek', 'tabrak', 'bus', 'haryanto', 'tinggal', 'tol', 'batang']"
58,TKN Nilai Bawaslu Jakpus Tak Profesional Soal Gibran Bagi-bagi Susu,hard,tkn nilai bawaslu jakpus tak profesional soal gibran bagibagi susu,"['tkn', 'nilai', 'bawaslu', 'jakpus', 'tak', 'profesional', 'soal', 'gibran', 'bagibagi', 'susu']","['tkn', 'nilai', 'bawaslu', 'jakpus', 'profesional', 'bagibagi', 'susu']","['tkn', 'nilai', 'bawaslu', 'jakpus', 'profesional', 'bagibagi', 'susu']"
59,"Jakarta Hujan, 24 RT dan 8 Jalan Masih Tergenang hingga Banjir 1,2 Meter",hard,jakarta hujan rt dan jalan masih tergenang hingga banjir meter,"['jakarta', 'hujan', 'rt', 'dan', 'jalan', 'masih', 'tergenang', 'hingga', 'banjir', 'meter']","['hujan', 'rt', 'jalan', 'tergenang', 'banjir', 'meter']","['hujan', 'rt', 'jalan', 'genang', 'banjir', 'meter']"
60,"Sepakat TPN Ganjar-Mahfud, Relawan JAMAN Nilai Bansos Perlu Terus Dilanjut",hard,sepakat tpn ganjarmahfud relawan jaman nilai bansos perlu terus dilanjut,"['sepakat', 'tpn', 'ganjarmahfud', 'relawan', 'jaman', 'nilai', 'bansos', 'perlu', 'terus', 'dilanjut']","['sepakat', 'tpn', 'ganjarmahfud', 'relawan', 'jaman', 'nilai', 'bansos', 'dilanjut']","['sepakat', 'tpn', 'ganjarmahfud', 'rawan', 'jaman', 'nilai', 'bansos', 'lanjut']"
61,Respons Anies soal Jokowi Dinner Bareng Prabowo: Kan Menteri dengan Presiden,hard,respons anies soal jokowi dinner bareng prabowo kan menteri dengan presiden,"['respons', 'anies', 'soal', 'jokowi', 'dinner', 'bareng', 'prabowo', 'kan', 'menteri', 'dengan', 'presiden']","['respons', 'dinner', 'bareng', 'menteri', 'presiden']","['respons', 'dinner', 'bareng', 'menteri', 'presiden']"
